          Flattened Attribute Count for Record types for Individual File
          ==============================================================
          File=./json_dir/Kayce253_Johns824_b0bccf43-3bf5-217c-7315-9e44d106bb6b.json


Record Type=CarePlan Attribute Count=22
Record Type=CareTeam Attribute Count=26
Record Type=Claim Attribute Count=25
Record Type=Condition Attribute Count=17
Record Type=DiagnosticReport Attribute Count=23
Record Type=DocumentReference Attribute Count=28
Record Type=Encounter Attribute Count=31
Record Type=ExplanationOfBenefit Attribute Count=63
Record Type=Immunization Attribute Count=13
Record Type=MedicationRequest Attribute Count=16
Record Type=Observation Attribute Count=19
Record Type=Patient Attribute Count=87
Record Type=Procedure Attribute Count=13
Record Type=Provenance Attribute Count=840


          File=./json_dir/Mariano761_Patiño436_4878889a-9b4f-22fc-7060-ed9f5c05940c.json


Record Type=Claim Attribute Count=45
Record Type=Condition Attribute Count=18
Record Type=DiagnosticReport Attribute Count=23
Record Type=DocumentReference Attribute Count=28
Record Type=Encounter Attribute Count=31
Record Type=ExplanationOfBenefit Attribute Count=124
Record Type=Immunization Attribute Count=13
Record Type=MedicationRequest Attribute Count=16
Record Type=Observation Attribute Count=22
Record Type=Patient Attribute Count=70
Record Type=Procedure Attribute Count=15
Record Type=Provenance Attribute Count=326


          File=./json_dir/Lesley194_Ebert178_6f1df156-8793-56a0-6df1-570bca4dcc07.json


Record Type=CarePlan Attribute Count=30
Record Type=CareTeam Attribute Count=31
Record Type=Claim Attribute Count=49
Record Type=Condition Attribute Count=18
Record Type=DiagnosticReport Attribute Count=38
Record Type=DocumentReference Attribute Count=28
Record Type=Encounter Attribute Count=28
Record Type=ExplanationOfBenefit Attribute Count=150
Record Type=Immunization Attribute Count=13
Record Type=MedicationRequest Attribute Count=14
Record Type=Observation Attribute Count=19
Record Type=Patient Attribute Count=70
Record Type=Procedure Attribute Count=13
Record Type=Provenance Attribute Count=136


          File=./json_dir/Harland508_Hintz995_a57f2290-27ed-6117-2989-f42ef6d291ab.json


Record Type=CarePlan Attribute Count=22
Record Type=CareTeam Attribute Count=26
